序号,来源展示名,展位,证据等级,来源类型,参展上下文,实体归一状态,目录状态,来源 URL,备注,快照日期
48,聊趣智能科技上海,Z1C-506,A1,张江园区官方发布（官方账号稿件镜像）,模力社区企业,来源展示名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,,2026-07-18
49,昆仑元,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
50,富奥佳,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
51,晟联科,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
52,强音聊智,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
53,聆昕科技,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
54,安般科技,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
55,光年触达,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
56,酷奇奇,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
57,福思优,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
58,盛典科技,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
59,OMO,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,品牌名；法律实体待核,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
60,绘话智能,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
61,维睿智造,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
62,确石科技,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
63,维享时空,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
64,清湛智帆,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
65,智元曜启,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
66,脑联锦跃,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
67,安信生物,H4-FT D001,A1,张江园区官方发布（官方账号稿件镜像）,模力社区 FT 轮换展示,短名/品牌名；待法人归一,企业目录和展品 API 均未收录,https://finance.sina.com.cn/roll/2026-07-17/doc-iniickaz8197262.shtml,轮换展示，日期需按原发布核对,2026-07-18
