序号,纳入口径,企业代码,企业中文名,企业英文名,身份,合作伙伴等级,行业一级分类,展位号,展馆,展厅或区域,展馆代码,展厅或区域代码,官方目录 URL,快照日期
11,参展企业,396ba27ef4f3400192d00eea964c0664,国家电网有限公司,State Grid Corporation of China,"展商,论坛主办方",战略合作伙伴,电力、热力、燃气及水生产和供应业,H2-D101,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
12,参展企业,77e9a88272ad482fba8449f2e564c368,新华三技术有限公司,"New H3C Technologies Co., Ltd.","展商,论坛主办方",战略合作伙伴,核心技术,H2-B516,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
13,参展企业,77e9a88272ad482fba8449f2e564c368,新华三技术有限公司,"New H3C Technologies Co., Ltd.","展商,论坛主办方",战略合作伙伴,核心技术,Z2A-103,张江科学会堂,张江科学会堂-张江厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_9,https://www.worldaic.com.cn/exhibitors,2026-07-18
14,参展企业,2b2f1a59e6934b8aaf759fb90f492394,曙光信息产业股份有限公司,"Sugon Information Industry Co., Ltd. ","展商,论坛主办方",战略合作伙伴,核心技术,H2-B116,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
15,参展企业,2b2f1a59e6934b8aaf759fb90f492394,曙光信息产业股份有限公司,"Sugon Information Industry Co., Ltd. ","展商,论坛主办方",战略合作伙伴,核心技术,Z2B-103,张江科学会堂,张江科学会堂-张江厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_9,https://www.worldaic.com.cn/exhibitors,2026-07-18
16,参展企业,2b2f1a59e6934b8aaf759fb90f492394,曙光信息产业股份有限公司,"Sugon Information Industry Co., Ltd. ","展商,论坛主办方",战略合作伙伴,核心技术,Z1B-401,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
17,参展企业,9037c6f1d2b744299ef356b3426a4124,沐曦集成电路（上海）股份有限公司,"MetaX Integrated Circuits (Shanghai) Co., Ltd.",展商,战略合作伙伴,核心技术,H2-B401,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
18,参展企业,9037c6f1d2b744299ef356b3426a4124,沐曦集成电路（上海）股份有限公司,"MetaX Integrated Circuits (Shanghai) Co., Ltd.",展商,战略合作伙伴,核心技术,Z1B-105,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
19,参展企业,6e09b5d78ba541648126ceaa105fa82c,百度在线网络技术（北京）有限公司,"Baidu Online Network Technology (Beijing) Co., Ltd.",展商,战略合作伙伴,核心技术,H1-B107,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
20,参展企业,6e09b5d78ba541648126ceaa105fa82c,百度在线网络技术（北京）有限公司,"Baidu Online Network Technology (Beijing) Co., Ltd.",展商,战略合作伙伴,核心技术,X1C-511-02,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
21,参展企业,e27a40e9e2274df4bbd77becaf81efdb,科大讯飞,"iFLYTEK Co., Ltd.","展商,论坛主办方",战略合作伙伴,核心技术,H1-B116,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
22,参展企业,e27a40e9e2274df4bbd77becaf81efdb,科大讯飞,"iFLYTEK Co., Ltd.","展商,论坛主办方",战略合作伙伴,核心技术,X1B-307,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
23,参展企业,e27a40e9e2274df4bbd77becaf81efdb,科大讯飞,"iFLYTEK Co., Ltd.","展商,论坛主办方",战略合作伙伴,核心技术,X1C-511-03,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
24,参展企业,f7fd16784fc244028f093deb89cebcdc,腾讯,Tencent,"展商,论坛主办方",战略合作伙伴,"工业互联与智能制造,具身智能",H1-B801,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
25,参展企业,f7fd16784fc244028f093deb89cebcdc,腾讯,Tencent,"展商,论坛主办方",战略合作伙伴,"工业互联与智能制造,具身智能",X1A-501-05,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
26,参展企业,4f0fda6e2dbe4327a9784f42ad390ece,蚂蚁科技集团股份有限公司,ANT GROUP,"展商,论坛主办方",战略合作伙伴,金融科技,H1-C701,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
27,参展企业,4f0fda6e2dbe4327a9784f42ad390ece,蚂蚁科技集团股份有限公司,ANT GROUP,"展商,论坛主办方",战略合作伙伴,金融科技,X1C-511-01,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
28,参展企业,e63d7f503a714541aa8b276ae21c5d40,超聚变数字技术股份有限公司,"XFusion Digital Technologies Co., Ltd.","展商,论坛主办方",战略合作伙伴,核心技术,Z2A-107,张江科学会堂,张江科学会堂-张江厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_9,https://www.worldaic.com.cn/exhibitors,2026-07-18
29,参展企业,e63d7f503a714541aa8b276ae21c5d40,超聚变数字技术股份有限公司,"XFusion Digital Technologies Co., Ltd.","展商,论坛主办方",战略合作伙伴,核心技术,H1-B119,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
30,参展企业,25963c64d0b54a98abcef208dd829929,阿里巴巴集团控股有限公司,Alibaba Group Holding Limited,"展商,论坛主办方",战略合作伙伴,核心技术,H1-C101,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
31,参展企业,25963c64d0b54a98abcef208dd829929,阿里巴巴集团控股有限公司,Alibaba Group Holding Limited,"展商,论坛主办方",战略合作伙伴,核心技术,R001,世博中心,世博中心,VO_EXHIBITION_HALL_2,VO_EXHIBITOR_BOOTH_LOCATION_6,https://www.worldaic.com.cn/exhibitors,2026-07-18
32,参展企业,e8b4e012dc05406a95bb032f9cc20e27,上海天数智芯半导体股份有限公司,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. ","展商,论坛主办方",卓越合作伙伴,核心技术,H2-C616,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
33,参展企业,e8b4e012dc05406a95bb032f9cc20e27,上海天数智芯半导体股份有限公司,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. ","展商,论坛主办方",卓越合作伙伴,核心技术,Z1A-608,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
34,参展企业,1ba39b3847bd451d818baab9445e4a0a,上海库帕思科技有限公司,"Shanghai Kupas Technology Co., Ltd.","展商,论坛主办方",卓越合作伙伴,核心技术,H1-C311,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
35,参展企业,379778190d7a47f19a364b16731701a5,上海无问芯穹智能科技股份有限公司,Shanghai Infinigence AI Technology Joint Stock Company Limited,"展商,论坛主办方",卓越合作伙伴,核心技术,H1-B811,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
36,参展企业,0a2c53ac3f724d9f8477a07f7bc37e70,上海燧原科技股份有限公司,"Shanghai Enflame Technology Co., Ltd.","展商,论坛主办方",卓越合作伙伴,核心技术,H2-C117,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
37,参展企业,0a2c53ac3f724d9f8477a07f7bc37e70,上海燧原科技股份有限公司,"Shanghai Enflame Technology Co., Ltd.","展商,论坛主办方",卓越合作伙伴,核心技术,Z1A-601,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
38,参展企业,9faf91f3249340b896abaf9538f02ccd,上海算丰信息有限公司,Suanova Information (Shanghai) Ltd. Co.,"展商,论坛主办方",卓越合作伙伴,核心技术,H2-C1416,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
39,参展企业,302e6d52297c4d0e9b0ea11f5ae65f7b,中兴通讯股份有限公司,ZTE Corporation,"展商,论坛主办方",卓越合作伙伴,核心技术,H2-C1109,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
40,参展企业,302e6d52297c4d0e9b0ea11f5ae65f7b,中兴通讯股份有限公司,ZTE Corporation,"展商,论坛主办方",卓越合作伙伴,核心技术,Z1B-107,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
41,参展企业,302e6d52297c4d0e9b0ea11f5ae65f7b,中兴通讯股份有限公司,ZTE Corporation,"展商,论坛主办方",卓越合作伙伴,核心技术,X1C-511-05,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
42,参展企业,483677eebb544bfdb38b70117a81fe8c,中国信息通信科技集团有限公司,China Information Communication Technologies Group Corporation,展商,卓越合作伙伴,核心技术,H2-C701,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
43,参展企业,3f864db5ca64459eb8a4a9652d505285,中国国际金融股份有限公司,China International Capital Corporation Limited,"展商,论坛主办方",卓越合作伙伴,金融科技,L069,世博中心,世博中心,VO_EXHIBITION_HALL_2,VO_EXHIBITOR_BOOTH_LOCATION_6,https://www.worldaic.com.cn/exhibitors,2026-07-18
44,参展企业,43f3c10068304a778f8dc1eb57c7edc6,中国铁塔股份有限公司,China Tower Corporation Limited,"展商,论坛主办方",卓越合作伙伴,核心技术,H1-A810,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
45,参展企业,5ca6fc01d913491494e03f51621dfae6,京东集团,JD.COM,"展商,论坛主办方",卓越合作伙伴,核心技术,H1-C117,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
46,参展企业,45abbe1357d04da390bddcad47b3195c,北京清微智能科技股份有限公司,"Beijing Tsingmicro Intelligent Technology Co., Ltd.",展商,卓越合作伙伴,核心技术,Z1A-610,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
47,参展企业,45abbe1357d04da390bddcad47b3195c,北京清微智能科技股份有限公司,"Beijing Tsingmicro Intelligent Technology Co., Ltd.",展商,卓越合作伙伴,核心技术, H2-C809,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
48,参展企业,3d09d561d1a746c682f48c97f4fb10e9,北京潞晨科技有限公司,HPC AI TECHNOLOGY PTE. LTD.,展商,卓越合作伙伴,核心技术,H1-C817,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
49,参展企业,0b4ca272e82f48348a439e16830343ae,卡奥斯数字科技（青岛）有限公司,"COSMOPlat  Digital Technology (Qingdao)Co., Ltd.",展商,卓越合作伙伴,工业互联与智能制造,H1-A813,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
50,参展企业,1c78a5a4d0a8453e8001cc9e1c5972ea,国泰海通证券股份有限公司,"Guotai Haitong Securities Co., Ltd","展商,论坛主办方",卓越合作伙伴,金融科技,H1-D105,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
51,参展企业,b975b848663d4387b80533128e1432f7,安擎计算机信息股份有限公司,"Enginetech Computer Co.,LTD",展商,卓越合作伙伴,核心技术,H2-C122,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
52,参展企业,b975b848663d4387b80533128e1432f7,安擎计算机信息股份有限公司,"Enginetech Computer Co.,LTD",展商,卓越合作伙伴,核心技术,Z2A-207,张江科学会堂,张江科学会堂-张江厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_9,https://www.worldaic.com.cn/exhibitors,2026-07-18
53,参展企业,46b04c31f1e7489580a794d746c59e3e,摩尔线程智能科技（北京）股份有限公司,"Moore Threads Technology Co., Ltd.","展商,论坛主办方",卓越合作伙伴,核心技术,H2-C109,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
54,参展企业,46b04c31f1e7489580a794d746c59e3e,摩尔线程智能科技（北京）股份有限公司,"Moore Threads Technology Co., Ltd.","展商,论坛主办方",卓越合作伙伴,核心技术,Z1C-101,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
55,参展企业,56eddf37830b4c89ab5728ab626cc426,昆仑芯（北京）科技股份有限公司,"Kunlunxin Technology (Beijing) Co., Ltd.",展商,卓越合作伙伴,其他,H2-B111,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
56,参展企业,56eddf37830b4c89ab5728ab626cc426,昆仑芯（北京）科技股份有限公司,"Kunlunxin Technology (Beijing) Co., Ltd.",展商,卓越合作伙伴,其他,Z1B-110,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
57,参展企业,61730deca8fa46ec8ab49e47ed977ef8,武汉超擎数智科技有限公司,"Wuhan ChaoQing Technology Co.,Ltd","展商,论坛主办方",卓越合作伙伴,核心技术,H2-C1016,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
58,参展企业,e7a5085361bb44a68dbedd4319ccaabc,润建股份有限公司,"Runjian Co., Ltd.","展商,论坛主办方",卓越合作伙伴,核心技术,H2-C609,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
59,参展企业,9dadf884c33d4ae4a3053b91774fb608,维谛技术有限公司,"Vertiv Tech Co., Ltd.",展商,卓越合作伙伴,制造业,H1-B130,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
60,参展企业,76a3952183b04ab0ae005b21a845f0ff,联想集团,Lenovo Group,"展商,论坛主办方",卓越合作伙伴,核心技术,H1-C807,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
61,参展企业,17bf62466be847d1b0c93e891605d0ec,荣耀终端股份有限公司,"Honor Device Co., Ltd.","展商,论坛主办方",卓越合作伙伴,智能终端,X1C-511-08,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
62,参展企业,a736a8a03ba04d78af305ac55fba9255,西门子（中国）有限公司,"Siemens Ltd., China","展商,论坛主办方",卓越合作伙伴,工业互联与智能制造,H1-A1105,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
63,参展企业,0c63808f2cc14701a7fb03f74d183ef3,上海合合信息科技股份有限公司," INTSIG INFORMATION CO., LTD.",展商,精英合作伙伴,核心技术,H1-B1130,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
64,参展企业,f06228f280724b1cb8bfdc1c95f8df63,上海宝信软件股份有限公司,"Shanghai Baosight Software Co., Ltd",展商,精英合作伙伴,工业互联与智能制造,H1-A1021,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
65,参展企业,e130580e356c4d44bee1d268f2d642d4,上海思朗科技股份有限公司,"Shanghai Smart Logic Technology Co., Ltd.","展商,论坛主办方",精英合作伙伴,核心技术,H2-C1020,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
66,参展企业,17f7a420fb61470c8aac918c67a3db9f,上海稀宇极智科技有限公司,MiniMax,展商,精英合作伙伴,核心技术,H1-A801,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
67,参展企业,17f7a420fb61470c8aac918c67a3db9f,上海稀宇极智科技有限公司,MiniMax,展商,精英合作伙伴,核心技术,X1A-501-08,西岸国际会展中心,西岸国际会展中心,VO_EXHIBITION_HALL_4,VO_EXHIBITOR_BOOTH_LOCATION_12,https://www.worldaic.com.cn/exhibitors,2026-07-18
68,参展企业,e8504c1ab2cd46bfb8288d9582a52d09,人工智能之旅,Artificial Intelligence Journey,"展商,论坛主办方",精英合作伙伴,核心技术,H2-E123,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
69,参展企业,60d56e2c8de545088dff8754d952e1a4,北京中科闻歌科技股份有限公司,"Beijing Wenge Technology Co.,Ltd","展商,论坛主办方",精英合作伙伴,核心技术,H1-B1025,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
70,参展企业,f071519f692048e28005719e9267f038,北京九章云极科技股份有限公司,"DataCanvas Co., Ltd.","展商,论坛主办方",精英合作伙伴,核心技术,H1-B138,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
71,参展企业,2a28d4f0514543d88701261c5ebecb43,北京电子数智科技有限责任公司,"Beijing Electronic Digital&Intelligence Co., Ltd","展商,论坛主办方",精英合作伙伴,核心技术,H1-A1032,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
72,参展企业,0ffa78727f72451ca8dd15bf3fe02ed9,华泰证券股份有限公司,"Huatai Securities Co., Ltd.","展商,论坛主办方",精英合作伙伴,金融科技,H4-101,世博展览馆,世博展览馆H4,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_11,https://www.worldaic.com.cn/exhibitors,2026-07-18
73,参展企业,70f25991fae449aab78292571db4994e,厦门供应链数智创新有限公司,"Xiamen Smartchain Innovations Co., Ltd.",展商,精英合作伙伴,交通运输、仓储和邮政业,H2-D520,世博展览馆,世博展览馆H2,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_2,https://www.worldaic.com.cn/exhibitors,2026-07-18
74,参展企业,ccb14751da51472394dbb2d40b2f9637,厦门算能科技股份有限公司,"Xiamen Sophgo Technologies Co., Ltd.",展商,精英合作伙伴,核心技术,Z1C-103,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
75,参展企业,ebcf8e963c2b480f836b09d2fa36c6e9,启明维创创业投资管理（上海）有限公司,Qiming Venture Partners,"展商,论坛主办方",精英合作伙伴,其他,L052,世博中心,世博中心,VO_EXHIBITION_HALL_2,VO_EXHIBITOR_BOOTH_LOCATION_6,https://www.worldaic.com.cn/exhibitors,2026-07-18
76,参展企业,8cea16186ade4439958eb3dfdaf73ed0,国家石油天然气管网集团,CHINA OIL& GAS PIPELINE NETWORK CORPORATION,展商,精英合作伙伴,交通运输、仓储和邮政业,H1-D125,世博展览馆,世博展览馆H1,VO_EXHIBITION_HALL_1,VO_EXHIBITOR_BOOTH_LOCATION_1,https://www.worldaic.com.cn/exhibitors,2026-07-18
77,参展企业,ef83e2c5569048a38d48adb16bb03181,太初（杭州）集成电路有限公司,"Tecorigin (Hangzhou) Integrated Circuit Co., Ltd.","展商,论坛主办方",精英合作伙伴,核心技术,Z1C-108,张江科学会堂,张江科学会堂-海科厅,VO_EXHIBITION_HALL_3,VO_EXHIBITOR_BOOTH_LOCATION_8,https://www.worldaic.com.cn/exhibitors,2026-07-18
