序号,纳入口径,企业代码,企业中文名,企业英文名,身份,身份代码,合作伙伴等级,合作伙伴代码,服务领域,服务领域代码,行业一级分类,行业一级代码,展位号,展馆,展厅或区域,展位数量,企业中文简介,企业英文简介,Logo URL,展览年份,官方目录 URL,官方 API URL,快照日期
295,参展企业,6674302b8929424096eb21590cf4c75d,GMI APAC Limited,GMI APAC Limited,"展商,论坛主办方","WAIC_EXHIBITOR_ACCOUNT_DEFAULT,WAIC_FORUM_ACCOUNT_DEFAULT",,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,H1-B825,世博展览馆,世博展览馆H1,1,由 Google X 的 AI 专家与硅谷精英共同创立的GMI Cloud是一家领先的 AI Native Cloud 服务商，自建数据中心遍布全球，为企业 AI 应用提供最新、最优的 GPU 云服务，为全球企业提供稳定安全、高效经济的 AI 云服务解决方案。,"GMI Cloud is an AI-native infrastructure platform built for production AI inference. From serverless APIs to dedicated GPU clusters, we deliver predictable performance, scalable capacity, and cost-efficient execution on NVIDIA GPU platforms.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/ed15f956-7f25-4334-9dd7-f88c71d60394_primary%20horizon%20black.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
296,参展企业,2f4357a3bf874eaf8e844fa39ae04fe2,Gray Matter Solutions Pte. Ltd.,Gray Matter Solutions Pte. Ltd.,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"信息传输、软件和信息技术服务业,其他","VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_OTHER",智慧医疗,VO_INDUSTRY_L1_05,H4-FT C006,世博展览馆,世博展览馆H4,1,"Gray Matter Solutions 是一家源自新加坡南洋理工大学（NTU）李光前医学院及新加坡失智症研究中心的数字医疗企业，专注于 AI 驱动的认知健康筛查与脑健康管理。公司致力于通过可规模化、可远程部署的数字工具，提升轻度认知障碍（MCI）及早期认知衰退的识别与管理能力，服务医院、诊所及健康筛查等场景，并推动认知健康服务向预防与长期管理延伸，助力构建更高效的脑健康服务体系。

公司核心产品 ReCOGnAIze 是一款获得 ISO 13485 认证的数字认知评估平台，通过 10–15 分钟的游戏化神经认知测试，对处理速度、执行功能、注意力及工作记忆等关键认知能力进行评估，并自动生成结构化报告。平台基于 AI 数字生物标志物技术，可辅助识别轻度认知障碍，并区分血管性 MCI 与阿尔茨海默相关 MCI，为临床干预与健康管理提供参考，并支持长期随访与个性化干预策略制定。

目前，Gray Matter Solutions 已在新加坡与马来西亚完成软件医疗器械注册，并与多家医疗机构建立合作，推动脑健康筛查与管理在实际场景中的应用，并持续拓展区域市场与合作网络。","Gray Matter Solutions is a Singapore-based digital health company spun off from Nanyang Technological University (NTU) and the Dementia Research Centre Singapore. It focuses on AI-enabled cognitive screening and brain health management to support early detection and care for cognitive decline.

The core product, ReCOGnAIze, is an ISO 13485-certified digital cognitive assessment platform for early detection and management of Mild Cognitive Impairment (MCI). Through 10–15 minute gamified tests, it evaluates key cognitive domains and generates structured reports. The platform uses AI-driven digital biomarkers to support early detection and helps differentiate vascular MCI from Alzheimer’s-related MCI, enabling clinical decision-making and personalized care across healthcare and preventive settings. It is designed for scalable deployment across hospitals, clinics, health screening providers, and longevity care services.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/89bc8ac9-8007-45c5-8778-247305262de3_logo-transparent.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
297,论坛主办方（非展商）,7e00313ac38e4a7b8346b02d7d73d771,IPI Singapore,IPI Singapore,论坛主办方,WAIC_FORUM_ACCOUNT_DEFAULT,,,"政府,机构,租赁业与商业服务业","VO_ENTERPRISE_SERVICE_DOMAIN_17,VO_ENTERPRISE_SERVICE_DOMAIN_18,VO_ENTERPRISE_SERVICE_DOMAIN_7",政府/机构,VO_INDUSTRY_L1_12,,,,0,"IPI新加坡（IPI Singapore）是推动创新的催化剂，为企业打造突破地域局限、实现增长的契机。
作为新加坡企业发展局（Enterprise Singapore）的下属机构，IPI新加坡依托其全球创新生态体系及咨询服务，助力企业加速其创新进程。
IPI新加坡坚信，创新是企业发展的关键所在，因此为企业搭建了接触创新理念与先进技术的桥梁。我们还为企业的创新进城提供协助与支持，涵盖商业化运作及市场拓展策略等关键环节。","IPI Singapore is an innovation catalyst that creates opportunities for enterprises to grow beyond boundaries.
As a subsidiary of Enterprise Singapore, IPI Singapore accelerates the innovation process of enterprises through access to its global innovation ecosystem and advisory services.
With a strong belief that innovation is key to enterprise growth, IPI Singapore provides enterprises with access to innovative ideas and technologies. We also facilitate and support enterprises' innovation processes, including commercialisation and go-to-market strategies.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/db429764-f68d-4524-981b-af99752798b3_IPI_LogoWT_Solid_RGB.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
298,参展企业,f0bc66b3c3074b8e8bc26431bbdbf890,IT Park Uzbekistan,IT Park Uzbekistan ,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,机构,VO_ENTERPRISE_SERVICE_DOMAIN_18,工业互联与智能制造,VO_INDUSTRY_L1_02,,,,0,乌兹别克斯坦IT Park是中亚领先的科技与创新生态系统之一，致力于推动数字经济发展、培育科技创业企业，并将乌兹别克斯坦打造成为区域性IT枢纽。在乌兹别克斯坦数字技术部支持下，IT Park为本地及国际企业、初创公司和投资者提供全面的发展平台，包括税收优惠、人才培养、商业拓展及市场准入支持。目前，IT Park已汇聚3700多家入驻企业，积极促进国际合作、技术创新、投资吸引和数字服务出口，为乌兹别克斯坦数字经济的可持续发展作出重要贡献,"IT Park Uzbekistan is one of the largest technology and innovation ecosystems in Central Asia, established to accelerate the development of the digital economy, foster technology entrepreneurship, and position Uzbekistan as a regional IT hub. Operating with the support of the Ministry of Digital Technologies of the Republic of Uzbekistan, IT Park provides a comprehensive platform for local and international IT companies, startups, investors, and digital service providers.

The ecosystem offers tax incentives, business development programs, talent development initiatives, and market entry support for technology companies seeking to establish and expand their presence in Uzbekistan. IT Park actively promotes IT services exports, startup growth, venture investment, artificial intelligence, game development, and digital innovation.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
299,参展企业,78be2a88a5524c078cf7a5da70f9d482,JiHu GitLab Technology Limited,,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,,,,,,,,0,,,,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
300,参展企业,a2ab87792bae4a4e94602031176dbb57,K Ocean Technology Trading Limited,,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,,,,,,,,0,,,,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
301,参展企业,065fdb90c0c14e11a99593f21dff6f4b,KNQ Technology Limited,KNQ Technology Limited,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,文娱艺术与元宇宙,VO_INDUSTRY_L1_11,,,,0,"麒纪科技是一家专注于 AI 与体育科技的创新企业，核心产品为实时体育理解引擎。

技术优势：麒纪能够在赛事直播过程中，实时理解视频、数据等多模态信息，并以秒级延迟生成达到播出标准的多语言解说、精彩集锦及互动内容。相比行业普遍采用的赛后离线生成方式，麒纪自主研发的端到端实时生成管线，实现了低延迟与播出级内容质量的兼顾，并已在多个国际大型体育赛事中完成商业化验证。

应用场景：该技术可广泛应用于 AI 实时解说、自动集锦生成、赛事互动等场景，不仅服务于顶级赛事，也让过去难以承担专业内容制作成本的长尾赛事实现规模化、智能化内容生产。麒纪致力于打造全球体育内容的实时生成基础设施。

公司总部位于香港，在北京、深圳设有研发及运营团队。","NQ Technology is an AI sports technology company developing a Real-time Sports Understanding Engine.

Technology: During live broadcasts, KNQ understands multimodal signals—including video and event data—in real time, generating broadcast-ready multilingual commentary, highlights, and interactive content with second-level latency. Unlike conventional post-event production, KNQ’s end-to-end pipeline delivers both low latency and broadcast-quality output, and has been commercially validated across multiple major international sporting events.

Applications: The platform powers AI commentary, automated highlights, and fan engagement, serving both top tier competitions and long-tail sports. By enabling scalable, professional-quality content production, KNQ is building the real-time AI infrastructure for sports content worldwide.

Headquartered in Hong Kong, with teams in Beijing and Shenzhen.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
302,参展企业,18beb3dbc7f04fcf9292f374bc6e95be,MAERO LLC,MINORA AI,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,,,,0,Minora AI 是由乌兹别克斯坦 MAERO LLC 打造的 AI 增长平台，帮助品牌在付费广告、搜索引擎和 AI 答案中被发现、被推荐并被选择。平台分析市场、竞争对手、客户行为、广告效果、SEO、AEO 和 GEO 可见度，并转化为营销策略、内容优先级、创意简报和投放计划，帮助企业、B2B 科技初创公司和 D2C 品牌更快进入新市场。,"Minora AI helps growth teams see where customers discover them, what competitors are winning, and which campaigns to launch next. Our AI agents analyze paid ads, SEO, AEO/GEO visibility, competitors, market signals and performance data, then turn them into clear media strategy, content priorities, creative briefs and launch plans. Built in Uzbekistan by MAERO LLC, Minora AI is designed for enterprise teams, B2B tech startups and D2C ecommerce brands that want to grow across search engines, AI answers and paid acquisition channels with less manual work and better decisions.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
303,参展企业,0e537bd9ad1c41cbbcd793a6e1efa488,Motonerv Limited,MotoNerv Limited,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,智慧城市,VO_INDUSTRY_L1_09,,,,0,MotoNerv 專注於通用视频理解AI，致力讓AI真正看懂複雜多變的真實世界，而非僅限於單一場景或任務。我們透過先進的視覺-語言模型，即時將海量視頻轉化為結構化、可搜索且可行動的智能數據，廣泛應用於智慧城市、公共安全及企業運營等領域，幫助客戶從被動的視頻監控中，快速獲得具價值的洞察與決策支持。,"MotoNerv specializes in general video understanding AI, with a focus on enabling AI to truly comprehend complex and dynamic real-world environments beyond narrow, task-specific detection. Powered by advanced vision-language models, our technology transforms large volumes of video into structured, searchable, and actionable intelligence in real time. It is applied across smart cities, public safety, and enterprise operations, helping clients move from passive video monitoring to proactive, insight-driven decision making.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
304,参展企业,d56bc08343594bb1a63611f4956d792d,Odin Health Limited,Odin Health Limited,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,"信息传输、软件和信息技术服务业,机构","VO_ENTERPRISE_SERVICE_DOMAIN_1,VO_ENTERPRISE_SERVICE_DOMAIN_18",智慧医疗,VO_INDUSTRY_L1_05,H4-010,世博展览馆,世博展览馆H4,1,"Odin Health —— 受治理的 AI 隐形基础设施
Odin Health 成立于 2014 年，总部位于新西兰奥克兰，是医疗行业全球领先的互操作与 AI 基础设施平台提供商。
Odin Health 提供AI时代受治理的企业级智能体应用基础设施平台，具有统一的 AI 编排与连接能力（AI Orchestration Layer），实现模型、数据与企业系统之间的无缝协同，打通AI落地“最后一公里”。
Odin Health 以“受治理的 AI 基础设施”为核心定位，在连接能力之上强化安全、权限、合规与全链路可观测能力，使 AI 智能体能够在复杂企业环境中被统一调度、可控执行与规模化运行。
在业务高度复杂，监管要求严格的医疗行业中，Odin Health 已在中国服务 1000+ 机构及数十个区域，每年支撑超过 5 亿人次服务规模，实现跨系统数据互联与统一治理，验证了其在强安全、强合规与高复杂系统环境下的稳定性与可扩展性。
你可能不知道 Odin Health。
但你的 AI 应用，可能已经在它的支撑下运行。","Odin Health – The Invisible Infrastructure for Healthcare AI

Founded in 2014 and headquartered in Auckland, New Zealand, Odin Health is a global leader in healthcare interoperability and AI orchestration.

Odin Health provides secure and scalable integration and orchestration capabilities for hospitals, healthcare organisations and regional health systems. Through a unified AI Orchestration Layer, Odin Health connects EMRs, LIS, RIS, PACS, medical devices and FHIR/API services, enabling AI agents to collaborate safely across systems, organisations and care settings.

Odin Health bridges the last mile of AI adoption and prevents AI agents from becoming a new generation of information silos.

Today, Odin Health supports more than 1,000 hospitals and 1,000 clinics worldwide, with dozens of regional deployments in China and infrastructure supporting over 500 million outpatient visits annually.

You may not know ODIN.
But your AI agent may already rely on it.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/8a1f0568-fce0-4d29-b18c-a741516a5f26_Odin%20Logo%20%28Square%29.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
305,参展企业,5e60f61f7fcf4f92b4129bcfbb998a26,Orionarm猎户旋臂,Orionarm,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,,,,0,猎户旋臂（Orion Arm）成立长 2023 年，由饿了么联合创始人汪渊创立，核心投资方为字节跳动。公司愿景是“持续打造面向大众用户日常生活的有品味的产品”。我们拥有一支 50 余人的顶尖团队，核心成员来自 Meta、谷歌、字节跳动、腾讯和阿里等全球头部科技企业。公司深耕前沿 AI 应用，旗下拥有核心产品 AI 日历助手 Toki 和 Syft。基于深度自研的 AI Agent 与 Workflow 引擎，产品自 2024 年发布以来已累计服务全球超 550 万用户。猎户旋臂正以领先的技术，将 AI 无缝融入大众生活。,"Orion Arm was founded in 2023 by Wang Yuan, co-founder of Ele.me. Orion Arm is an innovative AI company backed by ByteDance. Our vision is to ""continuously create tasteful products that enrich the everyday lives of mainstream user."" We boast a stellar team of over 50 experts, with core members hailing from tech giants like Meta, Google, ByteDance, Tencent, and Alibaba.
We specialize in consumer-facing AI applications. Our flagship product, Toki (an AI Calendar Assistant), and Syft (AI-driven news tracking products), are powered by our highly advanced, in-house AI Agent and Workflow engines. Since launching in 2024, our product matrix has rapidly amassed over 5.5 million users globally. Orion Arm is dedicated to revolutionizing personal productivity and integrating cutting-edge AI into daily life seamlessly.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
306,参展企业,bbfc7086c2554519a94942ac993531dd,OX Group LTD,OX System,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,租赁业与商业服务业,VO_INDUSTRY_L1_15,,,,0,OX System 是来自乌兹别克斯坦的 AI 零售运营系统，帮助零售企业在一个平台管理销售、库存、CRM、员工、电商、配送和数据分析。我们的产品包括 POS、WMS、RFID、CRM、HRM、在线商店构建器、市场平台集成和企业 AI 助手。OX System 已服务数千家线下门店和数百家线上商店，帮助中小型及大型零售企业减少人工操作、提升库存准确率、提高客户留存率，并实时管理多门店业务。,"OX System is an AI-powered retail operating system from Uzbekistan that helps retailers manage sales, inventory, CRM, staff, e-commerce, delivery and analytics in one platform. Our solutions include POS, WMS, RFID, CRM, HRM, online store builder, marketplace integrations and AI assistants for business management. OX System is used by thousands of retail stores and hundreds of online shops. We help SMB and enterprise retailers reduce manual work, improve stock accuracy, increase customer retention and manage multi-branch operations in real time.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
307,参展企业,718859e8aaaf476e8fdd46b3d3e1695e,Oxtak,,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,,,,,,,,0,,,,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
308,参展企业,95b09cc1a2be4ee0978078414564eecf,Oxtak Limited,Oxtak,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,智能终端,VO_INDUSTRY_L1_07,,,,0,"Oxtak 是一款专业的音频 AI 驱动的生产力工具，能让翻译、转录和总结您的讨论、会议和访谈变得轻松自如。
我们专有的硬件和复古未来主义设备无缝融入 Oxtak 生态系统，会自动将每一段录制的音频同步到我们的应用中，您可以在应用内创建自定义内容，提取量身定制的洞见和更深入的分析。
零数据保留：您的音频始终保留在设备上，通过生物识别技术保护。仅用于生成结果，随后立即从我们的平台删除。
它还支持超过 100 种语言的实时翻译，并在屏幕上实时显示，让您可以通过 Ask AI 即时提问。","Oxtak is a professional audio AI-powered productivity tool that makes it effortless to translate, transcribe, and summarize your discussions, meetings, and interviews.
Our proprietary hardware and retro futuristic device seamlessly built into the Oxtak ecosystem automatically syncs every recorded audio to our app where you can create your own custom ones to extract tailored insights and deeper analysis.
Zero Data Retention: Your audio stays on-device, secured by biometrics. Used only for results then deleted instantly from our platform.
It also supports live translation in over 100 languages displayed on-screen and lets you ask questions on the spot via Ask AI.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/f4596b5a-3435-40fd-afb1-639773c2f7c3_OXTAK%20Black-LOGO%202k.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
309,参展企业,573dc5f213a24aae91a010ddc87b3b00,Private Company Growth Vision Pro Ltd.,Khan Tengri Innovation Hub ,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,机构,VO_ENTERPRISE_SERVICE_DOMAIN_18,其他,VO_INDUSTRY_L1_24,H4-180,世博展览馆,世博展览馆H4,1,"汗腾格里中亚创新中心是中国首个旨在支持中欧亚初创企业及科技公司而设立的创新中心。中心的运营得到了哈萨克斯坦人工智能与数字化部、乌兹别克斯坦数字技术部的鼎力支持，并作为中欧亚地区最大的科技园区—Astana Hub和IT Park Uzbekistan在中国的官方代表机构。

中心致力于连接中国与中欧亚市场。通过定制化“入华”与“出海“项目，助力企业跨境扩张，推动技术转移与联合研发，打造领先的跨境创新桥梁，促进区域协同增长。","Khan Tengri Innovation Hub is the first innovation hub in China dedicated to supporting Central Eurasian startups and tech companies. Backed by Kazakhstan and Uzbekistan's key digital ministries and representing Astana Hub and IT Park Uzbekistan, the Hub connects Central Eurasia, China, and global markets by supporting startup scale-up, technology transfer, and cross-border innovation partnerships.
",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
310,参展企业,71a5783f49104733b255cf41263f52f1,Private Company Texer.AI Ltd.,Texer.ai,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,,,,0,"Texer.ai 正在打造一家面向边缘计算的无设计芯片公司。

我们正在构建一个用于边缘人工智能和信号处理的可编程架构：一个由众多小型浮点计算单元组成的架构，而非一个巨型 GPU。我们不将硅片用于通用性，而是用于工作负载。最终，每个晶体管的计算能力都得到了提升，精度、内存和数据流都围绕着真实的传感器数据流进行优化。

但 Texer.ai 不仅仅是一个芯片架构。我们正在围绕它构建完整的技术栈：工作负载映射、精度探索、仿真、验证、FPGA 原型设计、开发板，以及最终的定制芯片。客户只需提供传感器数据流、模型或信号流水线，以及功耗、延迟和成本目标。Texer.ai 会对其进行映射、验证、原型设计，并创建从工作负载到硬件的路径。","Texer.ai is building the designless chip company for the edge.

We are building a programmable fabric for edge AI and signal processing: a fabric of many small floating-point compute units, not one giant GPU. Instead of spending silicon on broad generality, we spend it on the workload. The result is more useful compute per transistor, with precision, memory, and dataflow shaped around real sensor streams.

But Texer.ai is not only a chip architecture. We are building the full stack around it: workload mapping, precision exploration, simulation, verification, FPGA prototyping, development boards, and eventually custom silicon. A customer brings a sensor stream, a model or signal pipeline, and power, latency, and cost targets. Texer.ai maps it, validates it, prototypes it, and creates a path from workload to hardware.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
311,参展企业,cdf11508999243ecb031c77a51f9f2da,Q Logistics AI Native CRM ,,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,,,,,,,,0,,,,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
312,参展企业,ac88486bf5c24aff94b6b4eff08236db,Radiant Energy Comp 1988,,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,,,,,,,,0,,,,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
313,参展企业,a7ab78a79b6b4088a61557e0810ab2bf,Sales Doctor Solutions LLC,Sales Doctor (SD),展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,制造业,VO_INDUSTRY_L1_03,,,,0,"Sales Doctor  是一家专注于分销和零售行业的 ERP 平台，帮助中小企业实现数字化和业务流程自动化。我们的平台集成了外勤销售管理、库存与仓储管理、财务管理、GPS 定位、报表和商业数据分析，为企业提供一体化解决方案。

十多年来，我们已为乌兹别克斯坦、哈萨克斯坦和吉尔吉斯斯坦的 3,000 多家企业及 25,000 多名用户提供服务。通过优化运营流程和提供实时数据洞察，我们帮助客户提升销售业绩、提高运营效率，并实现数据驱动决策。

目前，我们正积极拓展中东和北非（MENA）市场，致力于成为新兴市场分销和零售行业领先的 ERP 平台。
","Sales Doctor is an ERP platform for distribution and retail businesses, helping small and medium-sized companies digitize and automate their operations. Our platform includes field sales automation, inventory and warehouse management, financial management, GPS tracking, reporting, and business analytics in one integrated ecosystem.

For over 10 years, we have served more than 3,000 businesses and 25,000 users across Uzbekistan, Kazakhstan, and Kyrgyzstan. By streamlining operations and providing real-time insights, we help companies increase sales, improve efficiency, and make data-driven decisions.

We are now expanding into the MENA region with the vision of becoming the leading ERP platform for distribution and retail businesses across emerging markets.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
314,参展企业,4bf556fe0f514dc7999b70d44415ca7b,Silk Way monitoring,Silk Way Monitoring,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,交通运输、仓储和邮政业,VO_ENTERPRISE_SERVICE_DOMAIN_6,工业互联与智能制造,VO_INDUSTRY_L1_02,,,,0,根据哈萨克斯坦共和国政府2020年12月3日第819号法令，我公司被指定为基于导航封条的货运信息系统的国家运营商。我们已在政府机构委托的卡车和集装箱上安装了约10万台物联网设备。目前，我们正在开发一个用于追踪来自中国的货物的运输平台。电子封条的使用解决了安全、监控、数字文档管理、人工智能集成、保险和环保等诸多问题。,"By Decree No. 819 of the Government of the Republic of Kazakhstan dated December 3, 2020, our company was designated as the national operator of the information system for tracking freight shipments based on navigation seals. We have installed approximately 100,000 IoT devices on trucks and containers commissioned by government agencies. We are currently developing a transport platform for tracking cargo from China.The use of electronic seals solves problems such as security, monitoring, digital document management, AI integration, insurance, and ecology. ",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
315,参展企业,5504d6df13cd4d01aeaade60a4657366,Sino AI Technologies ,Sino AI,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,智慧医疗,VO_INDUSTRY_L1_05,,,,0,Sino AI是一家来自乌兹别克斯坦的AI预防性健康平台，帮助用户更早发现慢性疾病风险、理解症状、管理个人健康数据，并在一个数字生态系统中获取医疗服务。我们的产品结合AI分诊、个性化风险分析、电子健康档案，以及医生、诊断、实验室、药房、保险和上门护理等服务导航。Sino AI专注于医疗资源分散、预防性诊断不足的市场，目标是通过AI让早期健康风险识别和医疗服务获取更加可负担、个性化和可规模化，并逐步拓展至国际市场。,"Sino AI is an AI-powered preventive health platform from Uzbekistan that helps users detect chronic disease risks earlier, understand symptoms, monitor personal health data, and access medical services in one digital ecosystem. Our product combines AI triage, personalized risk analysis, electronic medical records, and routing to doctors, diagnostics, labs, pharmacies, insurance, and home care services. We focus on emerging markets where healthcare access is fragmented and preventive diagnostics are often underused. Sino AI already has traction in Uzbekistan and is preparing for expansion. Our goal is to make early health risk detection and access to medical care more affordable, personalized, and scalable through AI.",,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
316,参展企业,f21c016618174061938bc86d2c389d19,Test company,,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,,,,,,,,0,,,,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
317,参展企业,0656ab77a2ea4ed497bd14515fd4f000,UNITLAB AI,,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,,,,,,,,0,,,,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
318,参展企业,f530e2d358aa451f964ed781cb573859,VoiceAI Technologies Hong Kong Limited,声扬科技（香港）有限公司,展商,WAIC_EXHIBITOR_ACCOUNT_DEFAULT,,,信息传输、软件和信息技术服务业,VO_ENTERPRISE_SERVICE_DOMAIN_1,核心技术,VO_INDUSTRY_L1_01,,,,0,声扬科技是一家领先的全栈智能语音产品和解决方案提供商，以音频处理和语音分析为核心，围绕安全风控、政企服务、智能座舱等场景提供产品与服务，已得到中国工商银行、奔驰汽车、亚德诺半导体、印尼国家级社保TASPEN、墨西哥国有银行INFONAVIT等行业头部客户采用。,"VoiceAI is a leading provider of AI-voice products, serving clients in finance, smart cars, IoT, and more. Our goal is to enhance client profitability and customer experience. With patented technologies and extensive productization experience, VoiceAI serves many renowned companies and government institutions worldwide, including Industrial and Commercial Bank of China, Analog Devices, Mercedes Benz, Indonesia’s TASPEN, Mexico's INFONAVIT and more.",https://downloadprod.worldaic.com.cn/static/4e1ab0df/2567c18b-2c96-43ba-9496-d320ea525162_%E5%A3%B0%E6%89%AC%E7%A7%91%E6%8A%80%E4%B8%AD%E8%8B%B1%E6%96%87%E6%A0%87%E8%AF%AD%E7%BB%84%E5%90%88%E6%A0%87%E5%BF%97-%E5%BD%A9%E8%89%B2%E7%AB%96%E7%89%88.png,2026,https://www.worldaic.com.cn/exhibitors,https://servicer.worldaic.com.cn/waic/show/info/page,2026-07-18
